2024-04-08 13:40:08 - INFO - Iteration: 1, Time: 2.12 seconds, Best Distance: 24917.40601563331
2024-04-08 13:40:08 - INFO - Iteration: 2, Time: 0.01 seconds, Best Distance: 24917.40601563331
2024-04-08 13:40:08 - INFO - Iteration: 3, Time: 0.01 seconds, Best Distance: 24222.664921653108
2024-04-08 13:40:08 - INFO - Iteration: 4, Time: 0.01 seconds, Best Distance: 24222.664921653108
2024-04-08 13:40:08 - INFO - Iteration: 5, Time: 0.01 seconds, Best Distance: 24222.664921653108
2024-04-08 13:40:08 - INFO - Iteration: 6, Time: 0.01 seconds, Best Distance: 24222.664921653108
2024-04-08 13:40:08 - INFO - Iteration: 7, Time: 0.01 seconds, Best Distance: 24222.664921653108
2024-04-08 13:40:08 - INFO - Iteration: 8, Time: 0.01 seconds, Best Distance: 23754.661134438393
2024-04-08 13:40:08 - INFO - Iteration: 9, Time: 0.01 seconds, Best Distance: 23566.547363285004
2024-04-08 13:40:08 - INFO - Iteration: 10, Time: 0.01 seconds, Best Distance: 23566.547363285004
2024-04-08 13:40:08 - INFO - Iteration: 11, Time: 0.01 seconds, Best Distance: 23196.07091960034
2024-04-08 13:40:08 - INFO - Iteration: 12, Time: 0.01 seconds, Best Distance: 22470.086863436063
2024-04-08 13:40:08 - INFO - Iteration: 13, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 14, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 15, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 16, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 17, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 18, Time: 0.01 seconds, Best Distance: 21002.766612844152
2024-04-08 13:40:08 - INFO - Iteration: 19, Time: 0.01 seconds, Best Distance: 20877.030663857382
2024-04-08 13:40:08 - INFO - Iteration: 20, Time: 0.01 seconds, Best Distance: 20877.030663857382
2024-04-08 13:40:08 - INFO - Iteration: 21, Time: 0.01 seconds, Best Distance: 20877.030663857382
2024-04-08 13:40:08 - INFO - Iteration: 22, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 23, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 24, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 25, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 26, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 27, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 28, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 29, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 30, Time: 0.01 seconds, Best Distance: 20075.30671482427
2024-04-08 13:40:08 - INFO - Iteration: 31, Time: 0.01 seconds, Best Distance: 20035.57439448261
2024-04-08 13:40:08 - INFO - Iteration: 32, Time: 0.01 seconds, Best Distance: 20019.031235119077
2024-04-08 13:40:08 - INFO - Iteration: 33, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 34, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 35, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 36, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 37, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 38, Time: 0.00 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 39, Time: 0.01 seconds, Best Distance: 19516.323761611373
2024-04-08 13:40:08 - INFO - Iteration: 40, Time: 0.00 seconds, Best Distance: 19449.589980167366
2024-04-08 13:40:08 - INFO - Iteration: 41, Time: 0.00 seconds, Best Distance: 19449.589980167366
2024-04-08 13:40:08 - INFO - Iteration: 42, Time: 0.00 seconds, Best Distance: 18617.92267449244
2024-04-08 13:40:08 - INFO - Iteration: 43, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 44, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 45, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 46, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 47, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 48, Time: 0.01 seconds, Best Distance: 18509.740878173252
2024-04-08 13:40:08 - INFO - Iteration: 49, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 50, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 51, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 52, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 53, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 54, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 55, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 56, Time: 0.00 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 57, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 58, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:08 - INFO - Iteration: 59, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 60, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 61, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 62, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 63, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 64, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 65, Time: 0.00 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 66, Time: 0.01 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 67, Time: 0.00 seconds, Best Distance: 18132.12843740396
2024-04-08 13:40:09 - INFO - Iteration: 68, Time: 0.01 seconds, Best Distance: 17762.69669191855
2024-04-08 13:40:09 - INFO - Iteration: 69, Time: 0.01 seconds, Best Distance: 17762.69669191855
2024-04-08 13:40:09 - INFO - Iteration: 70, Time: 0.01 seconds, Best Distance: 17762.69669191855
2024-04-08 13:40:09 - INFO - Iteration: 71, Time: 0.01 seconds, Best Distance: 17762.69669191855
2024-04-08 13:40:09 - INFO - Iteration: 72, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 73, Time: 0.00 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 74, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 75, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 76, Time: 0.00 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 77, Time: 0.00 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 78, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 79, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 80, Time: 0.00 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 81, Time: 0.01 seconds, Best Distance: 16443.219511052404
2024-04-08 13:40:09 - INFO - Iteration: 82, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 83, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 84, Time: 0.00 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 85, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 86, Time: 0.00 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 87, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 88, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 89, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 90, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 91, Time: 0.01 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 92, Time: 0.00 seconds, Best Distance: 15855.983549994098
2024-04-08 13:40:09 - INFO - Iteration: 93, Time: 0.00 seconds, Best Distance: 15767.102484986528
2024-04-08 13:40:09 - INFO - Iteration: 94, Time: 0.01 seconds, Best Distance: 15767.102484986528
2024-04-08 13:40:09 - INFO - Iteration: 95, Time: 0.01 seconds, Best Distance: 15767.102484986528
2024-04-08 13:40:09 - INFO - Iteration: 96, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 97, Time: 0.00 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 98, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 99, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 100, Time: 0.00 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 101, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 102, Time: 0.00 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 103, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 104, Time: 0.00 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 105, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 106, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 107, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 108, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 109, Time: 0.00 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 110, Time: 0.01 seconds, Best Distance: 15492.869187724644
2024-04-08 13:40:09 - INFO - Iteration: 111, Time: 0.01 seconds, Best Distance: 15490.657129102736
2024-04-08 13:40:09 - INFO - Iteration: 112, Time: 0.01 seconds, Best Distance: 15490.657129102736
2024-04-08 13:40:09 - INFO - Iteration: 113, Time: 0.01 seconds, Best Distance: 15490.657129102736
2024-04-08 13:40:09 - INFO - Iteration: 114, Time: 0.00 seconds, Best Distance: 15490.657129102736
2024-04-08 13:40:09 - INFO - Iteration: 115, Time: 0.01 seconds, Best Distance: 15490.657129102736
2024-04-08 13:40:09 - INFO - Iteration: 116, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 117, Time: 0.00 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 118, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 119, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 120, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 121, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 122, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 123, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 124, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 125, Time: 0.00 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 126, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 127, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 128, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 129, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 130, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 131, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 132, Time: 0.01 seconds, Best Distance: 13811.708622256012
2024-04-08 13:40:09 - INFO - Iteration: 133, Time: 0.01 seconds, Best Distance: 13349.106410723989
2024-04-08 13:40:09 - INFO - Iteration: 134, Time: 0.01 seconds, Best Distance: 13349.106410723989
2024-04-08 13:40:09 - INFO - Iteration: 135, Time: 0.00 seconds, Best Distance: 13349.106410723989
2024-04-08 13:40:09 - INFO - Iteration: 136, Time: 0.01 seconds, Best Distance: 13349.106410723989
