2024-04-08 15:17:24 - INFO - Iteration: 1, Time: 2.06 seconds, Best Distance: 96261.23289164994
2024-04-08 15:17:24 - INFO - Iteration: 2, Time: 0.01 seconds, Best Distance: 90687.73818517345
2024-04-08 15:17:24 - INFO - Iteration: 3, Time: 0.01 seconds, Best Distance: 86241.38039026568
2024-04-08 15:17:24 - INFO - Iteration: 4, Time: 0.01 seconds, Best Distance: 86204.08096862899
2024-04-08 15:17:24 - INFO - Iteration: 5, Time: 0.01 seconds, Best Distance: 83872.90254195004
2024-04-08 15:17:24 - INFO - Iteration: 6, Time: 0.01 seconds, Best Distance: 83872.90254195004
2024-04-08 15:17:24 - INFO - Iteration: 7, Time: 0.01 seconds, Best Distance: 83872.90254195004
2024-04-08 15:17:24 - INFO - Iteration: 8, Time: 0.01 seconds, Best Distance: 83872.90254195004
2024-04-08 15:17:24 - INFO - Iteration: 9, Time: 0.01 seconds, Best Distance: 83872.90254195004
2024-04-08 15:17:24 - INFO - Iteration: 10, Time: 0.01 seconds, Best Distance: 74989.11238315141
2024-04-08 15:17:24 - INFO - Iteration: 11, Time: 0.02 seconds, Best Distance: 74989.11238315141
2024-04-08 15:17:24 - INFO - Iteration: 12, Time: 0.01 seconds, Best Distance: 74989.11238315141
2024-04-08 15:17:24 - INFO - Iteration: 13, Time: 0.01 seconds, Best Distance: 74989.11238315141
2024-04-08 15:17:24 - INFO - Iteration: 14, Time: 0.01 seconds, Best Distance: 72993.4960166781
2024-04-08 15:17:24 - INFO - Iteration: 15, Time: 0.01 seconds, Best Distance: 72488.5088603597
2024-04-08 15:17:24 - INFO - Iteration: 16, Time: 0.01 seconds, Best Distance: 72488.5088603597
2024-04-08 15:17:24 - INFO - Iteration: 17, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 18, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 19, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 20, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 21, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 22, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 23, Time: 0.00 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 24, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 25, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 26, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 27, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 28, Time: 0.01 seconds, Best Distance: 70290.94418912532
2024-04-08 15:17:24 - INFO - Iteration: 29, Time: 0.01 seconds, Best Distance: 69302.40264486057
2024-04-08 15:17:24 - INFO - Iteration: 30, Time: 0.01 seconds, Best Distance: 69302.40264486057
